권역,터미널,운영사,선석수,안벽길이_m,연간하역능력_TEU,시간당_TEU,선석당_시간당_TEU,시간당콜_대형2500TEU,시간당콜_혼합800TEU,비고
북항,자성대,HBCT,5,1447,1722000,196.6,39.3,0.079,0.246,"1978 개장, 북항 재개발 대상"
북항,신선대,BPT(신선대),5,1500,2236000,255.3,51.1,0.102,0.319,
북항,감만,BPT(감만),4,1400,1600000,182.6,45.7,0.073,0.228,
북항,신감만,HBGT,3,826,819000,93.5,31.2,0.037,0.117,
신항,신항1부두 TML1,PNIT,3,1200,2090000,238.6,79.5,0.095,0.298,
신항,신항2부두 TML2,PNC,6,2000,3790000,432.6,72.1,0.173,0.541,신항 최대
신항,신항3부두 TML3,HJNC,2,1100,2310000,263.7,131.8,0.105,0.33,
신항,신항4부두 TML4,HPNT,2,1150,1940000,221.5,110.7,0.089,0.277,
신항,신항5부두 TML5,BNCT,4,1400,2440000,278.5,69.6,0.111,0.348,
신항,신항6부두 TML6,BCT,3,1050,1950000,222.6,74.2,0.089,0.278,
신항,신항7부두 TML7,DGT(동원),3,1050,1550000,176.9,59.0,0.071,0.221,"2-5단계, 개략치"
북항,소계,,17,5173,6377000,728.0,,0.291,0.91,
신항,소계,,23,8950,16070000,1834.5,,0.734,2.293,
전체,합계,,40,14123,22447000,2562.4,,1.025,3.203,
